feature,missing_rate,unique_count,std,corr_target_pearson,corr_target_spearman,corr_within_group,corr_between_group,within_variance_ratio,abs_corr_within_group
ts_diff_inner_skew_zero_cross,0.0,148,0.049194150292817124,0.07809517462813392,0.05888082399189746,-0.02910195446723539,0.036895219906485255,0.6229145468927902,0.02910195446723539
ts_dt_max_s,0.0,9,0.0005266559139633316,0.14072683858436963,0.05441376839848089,0.028495429840022787,0.1843278406014072,0.6807491359224243,0.028495429840022787
ts_diff_center_edge_p90span,0.0,159,0.03712026866447429,-0.27973304381904707,-0.4524032720324815,-0.02749360688405227,-0.5119836347127544,0.722724073188035,0.02749360688405227
ts_us_drift_abs_mean,0.0,159,0.0021151401595858074,0.13227292598210735,0.33774480534989254,-0.025362080761679236,0.07087564313589369,0.6885631422075863,0.025362080761679236
ts_v0_iqr_rel,0.0,159,0.018440508507835643,-0.24550075949389394,-0.2830606639598758,-0.025285840974177774,-0.4987129029471725,0.5387280916904594,0.025285840974177774
ts_us_cv_mean,0.0,159,0.0048243863523279125,0.17935155011277845,0.3189156914258419,-0.020344837651039463,0.18199213910542927,0.7541157333142993,0.020344837651039463
ts_channel_plateau_cv_max,0.0,159,0.009013241019788907,-0.2652718658437823,-0.2903063052304753,-0.019501963410789157,-0.5297704316300573,0.5296444595428546,0.019501963410789157
ts_us2_drift_rel,0.0,159,0.002578908553017306,0.13257968374850804,-0.3006747074277526,0.01717743003553327,0.2563911988484256,0.8063795472904827,0.01717743003553327
ts_dt_std_s,0.0,142,7.149359813450442e-05,0.22151490794332787,0.052113125989838874,0.015538348435502183,0.3552224068322287,0.687573834863744,0.015538348435502183
ts_us0_drift_rel,0.0,159,0.0013538020617996146,0.08243826333202874,-0.2889539049438739,0.01548060146079508,0.12502175712376887,0.7782687263528316,0.01548060146079508
ts_v1_end_cv,0.0,159,0.09709855372045473,0.03283356898534492,0.060828158586099836,-0.014845998425845592,0.18549169554265502,0.44280643275852244,0.014845998425845592
ts_us2_cv,0.0,159,0.010052418618262077,0.14725401453450826,0.3387568664915214,0.0128346947731775,0.3015762641120126,0.8064319472804592,0.0128346947731775
ts_diff_top_bottom_tv_step,0.0,159,0.035249005808822675,-0.015355527474622321,-0.04264986864103177,0.0118212760732188,0.05770908816801212,0.6442268558168508,0.0118212760732188
ts_us0_cv,0.0,159,0.008565901447603021,0.13069046234948803,0.38679842369238115,0.010683425330439932,0.2822647257786318,0.7514167009948869,0.010683425330439932
ts_v2_end_cv,0.0,159,0.09544089385619638,0.03194196544994896,0.05513195605445426,-0.009519261329010271,0.1838525353668142,0.43954701270379104,0.009519261329010271
ts_q_end_cv,0.0,159,0.09764301193676866,0.029985235003296605,0.05431394793408169,-0.007438447098476886,0.17962215480503044,0.44274242428626287,0.007438447098476886
