window_id,base_volume_m3,model_volume_m3,zero_bias_volume_m3,base_error_pct,model_error_pct,zero_bias_error_pct,online_class,flow_point
updated_20260613_home__20260613_124351,83.0008088279068,82.78331748146384,82.62552990368285,0.5671798304269572,0.30365840626059026,0.1124765137731355,B,60
updated_20260613_home__20260613_125939,82.06736369666689,81.8523183051645,81.69630524076874,0.5328321801966914,0.2694007589688628,0.07828416262260211,B,60
updated_20260613_home__20260613_131135,42.418155390911984,42.1661600836813,42.09882086280829,0.9768552290574155,0.37697780812443127,0.21667610017255265,B,20
updated_20260613_home__20260613_133232,82.36828712728568,82.09218814530877,81.96108718713532,0.6055600198915151,0.2683295921203891,0.10820139501702944,B,40
updated_20260613_home__20260613_140329,81.35113773606497,80.97755534742694,80.84823445421601,0.7167537049442412,0.254240131415196,0.09413443513487818,B,30
updated_20260613_home__20260613_142315,82.11711824063387,81.74001830037321,81.60947975629973,0.8160818350765285,0.3531121248400426,0.19284853030694862,B,30
updated_20260613_home__20260613_144932,83.80509305761551,83.57626541806566,83.35430261488344,0.6136012889469965,0.3388784523082848,0.07239730939016045,B,70
updated_20260613_home__20260613_150948,83.87539106860405,83.64637148215297,83.42422249048258,0.6979987377290666,0.42304545603882043,0.1563407814279307,B,70
updated_20260613_home__20260613_153216,83.448151089168,83.22948754847661,83.07084955667148,0.6443444213430981,0.3806207987763381,0.18929221357513978,B,60
updated_20260613_home__20260613_155444,82.3503197094896,82.1345328735955,81.97798189945509,0.5578216946272825,0.294324792072021,0.10316068974348988,B,60
updated_20260613_home__20260613_160152,42.373910370131256,42.12217791114332,42.054908929657174,0.8945868397485102,0.2951981540716526,0.13502704796199969,B,20
updated_20260613_home__20260613_163055,83.5336872598507,83.3697979855556,83.18770311572497,0.626144850260845,0.4287209558346257,0.2093662817009743,B,50
updated_20260613_home__20260613_165521,81.57651548604466,81.30307052725712,81.17322978735992,0.6456444483927245,0.3082796573819612,0.1480876601539621,B,40
updated_20260613_home__20260613_172018,81.69492164040234,81.31976052016041,81.18989312639869,0.6674055650261175,0.20511860905275972,0.045091359684307566,B,30
updated_20260613_home__20260613_175512,84.16606358892082,83.93625032866927,83.71333147343734,0.5879520531691708,0.31329925110551365,0.04688604172299435,B,70
updated_20260613_home__20260613_183906,82.34287535666887,82.12710802760057,81.97057120544754,0.42597880403942395,0.1628273762837219,-0.028086087880589986,B,60
updated_20260613_home__20260613_185023,42.88618407707937,42.63140833228659,42.563326111469756,0.688575037340426,0.09041021458174853,-0.06943384585281613,B,20
updated_20260613_home__20260613_191132,82.03588039154673,81.87492974583051,81.69609994133654,0.4171368803596909,0.22012305001220042,0.0012239918141294978,B,50
updated_20260613_home__20260613_193810,84.06769915218668,83.78590373112624,83.6520979146564,0.49237369338010933,0.155522666839885,-0.0044253779697339835,B,40
updated_20260613_home__20260613_200311,81.59013538329991,81.21545546468974,81.08575464576325,0.5605887736902536,0.09879234401023805,-0.06106510265785134,B,30
updated_20260614_home__20260614_074215,83.46523736515122,83.27547640836737,83.04267986441597,0.4933295990647579,0.26485471566286733,-0.015435625074825678,B,80
updated_20260614_home__20260614_081037,42.92385703021736,42.66885748013855,42.60071545315407,0.7056197935329948,0.10735371227936878,-0.052517406866059456,B,20
updated_20260614_home__20260614_104000,83.90868263005312,83.67957214185438,83.45733497549158,0.5911156067367779,0.3164541666719192,0.05003257842847022,B,70
updated_20260614_home__20260614_112510,82.11579738787536,81.90062508304692,81.74451994443011,0.4413153787234609,0.17812376374157302,-0.01281885581296049,B,60
updated_20260614_home__20260614_114805,82.34304892422573,82.18149562789563,82.00199622750796,0.42435331407088106,0.22732532541046374,0.008410536127116853,B,50
updated_20260614_home__20260614_120820,82.08294223965015,81.80779973541165,81.67715294460629,0.5733532312076903,0.23623076078129532,0.07615382540745758,B,40
updated_20260614_home__20260614_122724,81.84625181404962,81.4703957522332,81.3402877944945,0.5051296361260638,0.04358788705236071,-0.11618139827702684,B,30
updated_20260614_home__20260614_125733,84.51619470429026,84.28542542008194,84.06157922164192,0.5476054676593347,0.27306283090412625,0.006756481867336858,B,70
updated_20260614_home__20260614_132044,82.45555387407722,82.23041111637146,82.01202264846235,0.6597731969773944,0.38492428913773075,0.11832085715863538,B,70
updated_20260614_home__20260614_134301,82.70576815692147,82.48904992093001,82.33182322627148,0.5233267824587081,0.2599202687201203,0.06882174248313394,B,60
updated_20260614_home__20260614_140554,81.92685191565266,81.71217471449535,81.55642876814204,0.431323218697713,0.1681577866936495,-0.022765837398666052,B,60
updated_20260614_home__20260614_141152,42.26878124734351,42.0176733333258,41.95057124531144,0.7147720386179971,0.1164515862397808,-0.04343406218086927,B,20
updated_20260614_home__20260614_143655,81.50930996507303,81.34939242645278,81.171710491476,0.4615898049579601,0.2644887600053024,0.045492798991317196,B,50
updated_20260614_home__20260614_150839,81.8499503774498,81.57558886330114,81.44531291250527,0.45933987366760587,0.12259957668498939,-0.03729589005645945,B,40
updated_20260614_home__20260614_152508,82.08677277500641,81.70981218782487,81.57932188281514,0.5522971817624385,0.09053882890353342,-0.06930543692771172,B,30
updated_20260614_home__20260614_160338,83.32856247703819,83.13745626791015,82.91665885909609,0.4969607702184618,0.2664804567367819,0.00019158924470914578,A,70
updated_20260614_home__20260614_162605,82.41415955695359,82.225150444793,82.00677594823574,0.6325814745190408,0.40179012772647,0.13514190326003014,A,70
updated_20260614_home__20260614_164616,82.93578911299696,82.77308765817294,82.61531957875329,0.5326161056688088,0.33539361496131503,0.144151234179058,A,60
updated_20260614_home__20260614_170947,82.27150540161381,82.11010712274572,81.95360270484609,0.50748252312755,0.31030933888338075,0.11911476951148786,A,60
updated_20260614_home__20260614_172958,42.32980503626573,42.06419482976919,41.99701844707592,0.762218722067654,0.12995798524430988,-0.029949232851735015,A,20
updated_20260614_home__20260614_174251,81.10477019090632,80.8439842506336,80.71487667003095,0.4322545540516863,0.10932262445077177,-0.05055163904103104,A,40
updated_20260614_home__20260614_180540,81.62754298553078,81.36507611090025,81.23513634828711,0.4567553885365107,0.13374467845024895,-0.026168586982546226,A,40
updated_20260614_home__20260614_183026,81.0292904331717,80.6701548773673,80.5413249017099,0.6623804546700983,0.21622771459399523,0.05618272402004653,A,30
updated_20260614_home__20260614_185836,82.48427479914112,82.26874720911523,82.03876497603167,0.570097064550413,0.3073120585383621,0.02690302832431906,A,80
updated_20260614_home__20260614_191724,82.06577279888604,81.87756267893973,81.66011130995311,0.5747441062468658,0.3440854040106025,0.07759043241047112,A,70
updated_20260614_home__20260614_202100,81.10373479485284,80.94706193409654,80.77025876241781,0.45485597573939174,0.26080141459752637,0.04181350741957377,A,50
updated_20260614_home__20260614_204622,82.34574110999117,82.08096492639214,81.9498818916629,0.5845333784362601,0.26111180838253245,0.10099513805638992,A,40
updated_20260614_home__20260614_211209,82.38485158346538,82.01970795077256,81.88872274323467,0.6938047054474817,0.2475126877631555,0.08741773518852584,A,30
updated_20260614_home__20260614_211852,42.51332271379476,42.24656097427834,42.17909335344385,0.8112709948845616,0.1787024658495363,0.018717402976077685,A,20
updated_20260615_home__20260615_082503,82.88099771400792,82.69091795250671,82.47130646526642,0.5401758146142039,0.3095963914987217,0.04319301621315263,A,70
updated_20260615_home__20260615_084347,82.51174901872812,82.34987943565669,82.19291800427145,0.6042087035587203,0.40684576419864765,0.21546719339770684,A,60
updated_20260615_home__20260615_090717,82.75459297800785,82.59224698944377,82.43482359796309,0.459225502975794,0.26214698820384613,0.0710442177702665,A,60
updated_20260615_home__20260615_091320,42.20677560736178,41.94193738344319,41.87495624549511,0.7831542626860822,0.15076215995489653,-0.009178282340671308,A,20
